,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2673,2024,SE,FT,Data Management Consultant,100000,USD,100000,US,on site,US,M
2674,2024,SE,FT,Data Management Consultant,85000,USD,85000,US,on site,US,M
2675,2024,MI,FT,Business Intelligence Analyst,107690,USD,107690,US,on site,US,M
2676,2024,MI,FT,Business Intelligence Analyst,78300,USD,78300,US,on site,US,M
2677,2024,EN,FT,Analytics Engineer,131000,USD,131000,US,remote,US,M
2678,2024,EN,FT,Analytics Engineer,110000,USD,110000,US,remote,US,M
2679,2024,EN,FT,Data Analyst,133000,USD,133000,US,on site,US,M
2680,2024,EN,FT,Data Analyst,58400,USD,58400,US,on site,US,M
2683,2024,EX,FT,Data Engineer,209309,USD,209309,US,on site,US,M
2684,2024,EX,FT,Data Engineer,168854,USD,168854,US,on site,US,M
2685,2024,EN,FT,Research Analyst,133000,USD,133000,US,on site,US,M
2686,2024,EN,FT,Research Analyst,58400,USD,58400,US,on site,US,M
2688,2024,SE,FT,Data Scientist,165000,USD,165000,CA,on site,CA,M
2691,2024,SE,FT,Research Scientist,333500,USD,333500,US,on site,US,M
2693,2024,SE,FT,Data Scientist,195000,USD,195000,US,remote,US,M
2694,2024,SE,FT,Data Scientist,147500,USD,147500,US,remote,US,M
2695,2024,EN,FT,ML Engineer,187500,USD,187500,US,on site,US,M
2696,2024,EN,FT,ML Engineer,99500,USD,99500,US,on site,US,M
2697,2024,SE,FT,Analytics Engineer,126400,USD,126400,US,remote,US,M
2698,2024,SE,FT,Analytics Engineer,101100,USD,101100,US,remote,US,M
2699,2024,SE,FT,Data Engineer,167400,USD,167400,US,remote,US,M
2700,2024,SE,FT,Data Engineer,116600,USD,116600,US,remote,US,M
2701,2024,SE,FT,Data Analyst,126000,USD,126000,US,on site,US,M
2702,2024,SE,FT,Data Analyst,87000,USD,87000,US,on site,US,M
2705,2024,SE,FT,Data Quality Analyst,80000,GBP,100000,GB,on site,GB,M
2706,2024,SE,FT,Data Quality Analyst,45000,GBP,56250,GB,on site,GB,M
2707,2024,SE,FT,Data Architect,276000,USD,276000,US,on site,US,M
2708,2024,SE,FT,Data Architect,174000,USD,174000,US,on site,US,M
2709,2024,EN,FT,Data Analyst,113800,USD,113800,US,remote,US,M
2710,2024,EN,FT,Data Analyst,74400,USD,74400,US,remote,US,M
2711,2024,SE,FT,ML Engineer,333500,USD,333500,US,on site,US,M
2712,2024,SE,FT,ML Engineer,183000,USD,183000,US,on site,US,M
2715,2024,EN,FT,Data Analyst,158000,USD,158000,US,on site,US,M
2716,2024,EN,FT,Data Analyst,105000,USD,105000,US,on site,US,M
2722,2024,SE,FT,Data Analyst,75300,USD,75300,US,on site,US,M
2723,2024,MI,FT,Data Scientist,140000,USD,140000,US,remote,US,M
2725,2024,MI,FT,ML Engineer,240000,USD,240000,US,on site,US,M
2729,2024,MI,FT,Data Scientist,187200,USD,187200,CA,on site,CA,M
2730,2024,MI,FT,Data Scientist,100800,USD,100800,CA,on site,CA,M
2731,2024,SE,FT,Data Engineer,153200,USD,153200,US,remote,US,M
2732,2024,SE,FT,Data Engineer,102200,USD,102200,US,remote,US,M
2733,2024,SE,FT,Robotics Software Engineer,240000,USD,240000,US,on site,US,M
2734,2024,SE,FT,Robotics Software Engineer,160000,USD,160000,US,on site,US,M
2736,2024,MI,FT,Data Analyst,77000,USD,77000,US,on site,US,M
2737,2024,SE,FT,Data Engineer,207300,USD,207300,US,on site,US,M
2738,2024,SE,FT,Data Engineer,119000,USD,119000,US,on site,US,M
2739,2024,MI,FT,ML Engineer,160000,USD,160000,US,remote,US,M
2740,2024,MI,FT,ML Engineer,130000,USD,130000,US,remote,US,M
2741,2024,SE,FT,ML Engineer,155000,USD,155000,US,on site,US,M
2742,2024,SE,FT,ML Engineer,125000,USD,125000,US,on site,US,M
2743,2024,EX,FT,ML Engineer,265000,USD,265000,US,on site,US,M
2744,2024,EX,FT,ML Engineer,203800,USD,203800,US,on site,US,M
2745,2024,SE,FT,Data Analyst,135000,USD,135000,US,on site,US,M
2747,2024,SE,FT,Analytics Engineer,345400,USD,345400,US,on site,US,M
2748,2024,SE,FT,Analytics Engineer,272700,USD,272700,US,on site,US,M
2749,2024,MI,FT,Robotics Software Engineer,198000,USD,198000,US,on site,US,M
2750,2024,MI,FT,Robotics Software Engineer,160000,USD,160000,US,on site,US,M
2751,2024,SE,FT,Data Engineer,198000,USD,198000,US,on site,US,M
2754,2024,SE,FT,Data Analyst,80000,USD,80000,US,on site,US,M
2755,2024,SE,FT,ML Engineer,250000,USD,250000,US,on site,US,M
